City,State,Latitude,Longitude,County,Zip,Country
Abbeville,GA,31.977048,-83.372515,Wilcox,31001,US
Acworth,GA,34.034515,-84.707349,Cobb,30101,US
Adairsville,GA,34.3687,-84.93411,Bartow,30103,US
Alamo,GA,32.143021,-82.82677,Wheeler,30411,US
Alapaha,GA,31.383968,-83.221348,Berrien,31622,US
Albany,GA,31.560674,-84.176751,Dougherty,31701,US
Alma,GA,31.576952,-82.461197,Bacon,31510,US
Alpharetta,GA,34.112373,-84.30205,Fulton,30004,US
Alto,GA,34.444832,-83.571657,Habersham,30510,US
Americus,GA,32.040432,-84.215282,Sumter,31709,US
Aragon,GA,34.053167,-85.079865,Polk,30104,US
Arcade,GA,34.0716252,-83.540989,Jackson,,US
Arlington,GA,31.47718,-84.699156,Calhoun,31713,US
Ashburn,GA,31.723074,-83.644063,Turner,31714,US
Atlanta,GA,33.844371,-84.47405,Fulton,30301,US
Attapulgus,GA,30.835331,-84.511949,Decatur,31715,US
Auburn,GA,34.019109,-83.826094,Barrow,30011,US
Austell,GA,33.836897,-84.630729,Cobb,30106,US
Avondale Estates,GA,33.77149,-84.26714,DeKalb,30002,US
Bainbridge,GA,30.888734,-84.617836,Decatur,31717,US
Ball Ground,GA,34.33815,-84.37659,Cherokee,30107,US
Baxley,GA,31.756861,-82.350837,Appling,31513,US
Blackshear,GA,31.326324,-82.271206,Pierce,31516,US
Blairsville,GA,34.867512,-83.967636,Union,30512,US
Blakely,GA,31.346088,-84.901178,Early,31723,US
Bloomingdale,GA,32.107103,-81.291335,Chatham,31302,US
Blue Ridge,GA,34.831246,-84.331339,Fannin,30513,US
Blythe,GA,33.29264,-82.20151,Richmond,30805,US
Bowdon,GA,33.53789,-85.25328,Carroll,30108,US
Braselton,GA,34.10927,-83.76267,Jackson,30517,US
Braswell,GA,33.989268,-84.963,Paulding,30153,US
Bremen,GA,33.767997,-85.172928,Haralson,30110,US
Brookhaven,GA,33.865105,-84.336594,DeKalb,,US
Brooklet,GA,32.352307,-81.6571,Bulloch,30415,US
Brunswick,GA,31.180919,-81.493973,Glynn,31520,US
Buchanan,GA,33.836682,-85.210444,Haralson,30113,US
Byron,GA,32.618051,-83.788976,Peach,31008,US
Cairo,GA,30.857503,-84.22903,Grady,31728,US
Camilla,GA,31.249152,-84.242837,Mitchell,31730,US
Canon,GA,34.355933,-83.152947,Franklin,30520,US
Canton,GA,34.250547,-84.49093,Cherokee,30114,US
Carrollton,GA,33.604458,-85.04987,Carroll,30116,US
Cave Spring,GA,34.1076,-85.33634,Floyd,30124,US
Cedartown,GA,33.998841,-85.239429,Polk,30125,US
Centerville,GA,32.627198,-83.695724,Houston,31028,US
Chatsworth,GA,34.785543,-84.771623,Murray,30705,US
Chattahoochee Hills,GA,34.600098,-83.516282,Habersham,30523,US
Chickamauga,GA,34.76416,-85.353517,Walker,30707,US
Clarkesville,GA,34.655918,-83.508274,Habersham,30523,US
Clarkston,GA,33.810953,-84.23797,DeKalb,30021,US
Claxton,GA,32.160611,-81.923832,Evans,30417,US
Clayton,GA,34.886868,-83.375358,Rabun,30525,US
Cleveland,GA,34.610466,-83.74615,White,30528,US
Cochran,GA,32.383904,-83.321095,Bleckley,31014,US
College Park,GA,33.653443,-84.449373,Clayton,30337,US
Colquitt,GA,31.16251,-84.713359,Miller,31737,US
Commerce,GA,34.217179,-83.482653,Jackson,30529,US
Coolidge,GA,30.976287,-83.871284,Thomas,31738,US
